layout,start_config,alpha_i,alpha_j,seed,sweep_type,complexity,both_success,single_success,failure,goal_reached_i,goal_reached_j,lava_collision,lava_hit_i,lava_hit_j,cell_collision,edge_collision,num_collisions,paralysis,paralysis_type,cycle_length,stay_streak,timesteps,steps_i,steps_j,arrival_order,arrival_gap,G_i,G_j,trajectory_i,trajectory_j
narrow,A,0.0,0.0,42,symmetric,5,False,False,True,False,False,False,False,False,False,False,0,True,cycle,1.0,0,25,25,25,neither,0,2500.0,2500.0,"[(0, 1), (1, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1)]","[(5, 1), (4, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1)]"
narrow,A,0.5,0.5,42,symmetric,5,False,False,True,False,False,False,False,False,False,False,0,True,cycle,2.0,0,25,25,25,neither,0,2440.050003051758,2440.050003051758,"[(0, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1)]","[(5, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1)]"
narrow,A,1.0,1.0,42,symmetric,5,False,False,True,False,False,False,False,False,False,False,0,True,cycle,2.0,0,25,25,25,neither,0,2380.099998474121,2380.099998474121,"[(0, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1)]","[(5, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1)]"
narrow,A,0.0,0.5,42,asymmetric,5,False,True,False,True,False,False,False,False,True,False,1,False,,,0,6,6,6,i_only,19,600.0,549.1833343505859,"[(0, 1), (1, 1), (2, 1), (2, 1), (3, 1), (4, 1)]","[(5, 1), (4, 1), (3, 1), (4, 1), (4, 1), (5, 1)]"
narrow,A,0.0,1.0,42,asymmetric,5,False,True,False,True,False,False,False,False,True,False,1,False,,,0,6,6,6,i_only,19,600.0,498.3666687011719,"[(0, 1), (1, 1), (2, 1), (2, 1), (3, 1), (4, 1)]","[(5, 1), (4, 1), (3, 1), (4, 1), (4, 1), (5, 1)]"
narrow,A,0.5,0.0,42,asymmetric,5,False,True,False,False,True,False,False,False,True,False,1,False,,,0,6,6,6,j_only,-19,549.1833343505859,600.0,"[(0, 1), (1, 1), (2, 1), (1, 1), (1, 1), (0, 1)]","[(5, 1), (4, 1), (3, 1), (3, 1), (2, 1), (1, 1)]"
narrow,A,0.5,1.0,42,asymmetric,5,False,False,True,False,False,False,False,False,False,False,0,True,cycle,2.0,0,25,25,25,neither,0,2440.050003051758,2380.099998474121,"[(0, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1)]","[(5, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1)]"
narrow,A,1.0,0.0,42,asymmetric,5,False,True,False,False,True,False,False,False,True,False,1,False,,,0,6,6,6,j_only,-19,498.3666687011719,600.0,"[(0, 1), (1, 1), (2, 1), (1, 1), (1, 1), (0, 1)]","[(5, 1), (4, 1), (3, 1), (3, 1), (2, 1), (1, 1)]"
narrow,A,1.0,0.5,42,asymmetric,5,False,False,True,False,False,False,False,False,False,False,0,True,cycle,2.0,0,25,25,25,neither,0,2380.099998474121,2440.050003051758,"[(0, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1), (1, 1), (2, 1)]","[(5, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1), (4, 1), (3, 1)]"
narrow,B,0.0,0.0,42,symmetric,5,False,False,True,False,False,False,False,False,False,False,0,True,cycle,1.0,0,25,25,25,neither,0,2500.0,2500.0,"[(5, 1), (4, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1)]","[(0, 1), (1, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1)]"
