layout,start_config,alpha_i,alpha_j,seed,sweep_type,complexity,both_success,single_success,failure,goal_reached_i,goal_reached_j,lava_collision,lava_hit_i,lava_hit_j,cell_collision,edge_collision,num_collisions,paralysis,paralysis_type,cycle_length,stay_streak,timesteps,steps_i,steps_j,arrival_order,arrival_gap,G_i,G_j,arousal_i,valence_i,emotion_i,dominant_emotion_i,arousal_j,valence_j,emotion_j,dominant_emotion_j,social_arousal_i,social_valence_i,social_arousal_j,social_valence_j,trajectory_i,trajectory_j
wide,A,1.0,1.0,42,symmetric,1,True,False,False,True,True,False,False,False,False,False,0,False,,,0,5,5,5,tie,0,225.14999771118164,110.27500915527344,2.6662589020705688e-14,0.11743573823162645,happy,happy,2.6662589020705688e-14,0.11743573823162645,happy,happy,2.6662589020705688e-14,0.11743573823162645,2.6662589020705688e-14,0.11743573823162645,"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]","[(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]"
wide,A,1.0,1.0,43,symmetric,1,True,False,False,True,True,False,False,False,False,False,0,False,,,0,5,5,5,tie,0,225.14999771118164,110.27500915527344,2.6662589020705688e-14,0.11743573823162645,happy,happy,2.6662589020705688e-14,0.11743573823162645,happy,happy,2.6662589020705688e-14,0.11743573823162645,2.6662589020705688e-14,0.11743573823162645,"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]","[(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]"
wide,A,1.0,1.0,44,symmetric,1,True,False,False,True,True,False,False,False,False,False,0,False,,,0,5,5,5,tie,0,225.14999771118164,110.27500915527344,2.6662589020705688e-14,0.11743573823162645,happy,happy,2.6662589020705688e-14,0.11743573823162645,happy,happy,2.6662589020705688e-14,0.11743573823162645,2.6662589020705688e-14,0.11743573823162645,"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]","[(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]"
wide,A,1.0,1.0,45,symmetric,1,True,False,False,True,True,False,False,False,False,False,0,False,,,0,5,5,5,tie,0,225.14999771118164,110.27500915527344,2.6662589020705688e-14,0.11743573823162645,happy,happy,2.6662589020705688e-14,0.11743573823162645,happy,happy,2.6662589020705688e-14,0.11743573823162645,2.6662589020705688e-14,0.11743573823162645,"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]","[(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]"
wide,A,1.0,1.0,46,symmetric,1,True,False,False,True,True,False,False,False,False,False,0,False,,,0,5,5,5,tie,0,225.14999771118164,110.27500915527344,2.6662589020705688e-14,0.11743573823162645,happy,happy,2.6662589020705688e-14,0.11743573823162645,happy,happy,2.6662589020705688e-14,0.11743573823162645,2.6662589020705688e-14,0.11743573823162645,"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]","[(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]"
crossed_goals,A,0.0,0.0,42,symmetric,3,False,False,True,False,False,False,False,False,True,False,1,False,,,0,1,1,1,neither,0,78.0250015258789,77.5250015258789,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,2.6662589020705688e-14,1.0232139686650008e-07,"[(0, 1)]","[(0, 2)]"
crossed_goals,A,0.0,0.0,43,symmetric,3,False,False,True,False,False,False,False,False,True,False,1,False,,,0,1,1,1,neither,0,78.0250015258789,77.5250015258789,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,2.6662589020705688e-14,1.0232139686650008e-07,"[(0, 1)]","[(0, 2)]"
crossed_goals,A,0.0,0.0,44,symmetric,3,False,False,True,False,False,False,False,False,True,False,1,False,,,0,1,1,1,neither,0,78.0250015258789,77.5250015258789,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,2.6662589020705688e-14,1.0232139686650008e-07,"[(0, 1)]","[(0, 2)]"
crossed_goals,A,0.0,0.0,45,symmetric,3,False,False,True,False,False,False,False,False,True,False,1,False,,,0,1,1,1,neither,0,78.0250015258789,77.5250015258789,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,2.6662589020705688e-14,1.0232139686650008e-07,"[(0, 1)]","[(0, 2)]"
crossed_goals,A,0.0,0.0,46,symmetric,3,False,False,True,False,False,False,False,False,True,False,1,False,,,0,1,1,1,neither,0,78.0250015258789,77.5250015258789,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,happy,happy,2.6662589020705688e-14,1.0232139686650008e-07,2.6662589020705688e-14,1.0232139686650008e-07,"[(0, 1)]","[(0, 2)]"
